Time, Operation, Operation_name, Description
05:04:15.983,prepareBlockPvtdata,[gossip.privdata],Successfully fetched all eligible collection private write sets for block [3] channel=mychannel
05:04:17.151,CreateDatabaseIfNotExist,[couchdb],Created state database mychannel__lifecycle$$h_implicit_org_$org1$m$s$p
05:04:17.730,CreateDatabaseIfNotExist,[couchdb],Created state database mychannel_lscc
05:04:18.964,CommitLegacy,[kvledger],[mychannel] Committed block [3] with 1 transaction(s) in 2980ms (state_validation=1837ms block_and_pvtdata_commit=371ms state_commit=657ms) commitHash=[fe0ae343dc08680b1ed41f149981cb651bb18ffe2ceefdb08d4fc020f338c3df]
05:05:07.764,InstallChaincode,[lifecycle],Successfully installed chaincode with package ID 'fabcarv1:45097293189158aadd0deab44a9a91a2d536128ab7abfe058ee37eb74539db85'
05:05:07.765,callChaincode,[endorser],finished chaincode: _lifecycle duration: 48133ms channel= txID=89b4aa1c
05:05:07.765,1,[comm.grpc.server],unary call completed grpc.service=protos.Endorser grpc.method=ProcessProposal grpc.peer_address=172.23.0.39:44162 grpc.code=OK grpc.call_duration=48.13422017s
05:06:01.240,callChaincode,[endorser],finished chaincode: _lifecycle duration: 0ms channel= txID=0ef78c37
05:06:01.240,1,[comm.grpc.server],unary call completed grpc.service=protos.Endorser grpc.method=ProcessProposal grpc.peer_address=172.23.0.39:44504 grpc.code=OK grpc.call_duration=1.052596ms
05:06:02.910,CreateDatabaseIfNotExist,[couchdb],Created state database mychannel__lifecycle$$p_implicit_org_$org2$m$s$p
05:06:03.223,CreateDatabaseIfNotExist,[couchdb],Created state database mychannel__lifecycle$$h_implicit_org_$org2$m$s$p
05:06:03.243,ApproveChaincodeDefinitionForOrg,[lifecycle],Successfully endorsed chaincode approval with name 'fabcar' package ID 'fabcarv1:45097293189158aadd0deab44a9a91a2d536128ab7abfe058ee37eb74539db85' on channel 'mychannel' with definition {sequence: 1 endorsement info: (version: '1.0' plugin: 'escc' init required: false) validation info: (plugin: 'vscc' policy: '0a28120c120a080212020800120208011a0b12090a074f7267314d53501a0b12090a074f7267324d5350') collections: ()}
05:06:03.243,callChaincode,[endorser],finished chaincode: _lifecycle duration: 713ms channel=mychannel txID=6485dd1f
05:06:03.312,1,[comm.grpc.server],unary call completed grpc.service=protos.Endorser grpc.method=ProcessProposal grpc.peer_address=172.23.0.39:44510 grpc.code=OK grpc.call_duration=783.866652ms
05:06:05.701,StoreBlock,[gossip.privdata],[mychannel] Received block [4] from buffer
05:06:05.702,Validate,[committer.txvalidator],[mychannel] Validated block [4] in 1ms
05:06:05.703,prepareBlockPvtdata,[gossip.privdata],Successfully fetched all eligible collection private write sets for block [4] channel=mychannel
05:06:07.125,CommitLegacy,[kvledger],[mychannel] Committed block [4] with 1 transaction(s) in 1422ms (state_validation=167ms block_and_pvtdata_commit=366ms state_commit=696ms) commitHash=[0d6422a91bb4cf108af426791c13c91d05571fafbb9b77f3bcb289fc991b8e2c]
05:06:07.129,1,[comm.grpc.server],streaming call completed grpc.service=protos.Deliver grpc.method=DeliverFiltered grpc.request_deadline=2020-03-19T05:06:33.315Z grpc.peer_address=172.23.0.39:44512 error="context finished before block retrieved: context canceled" grpc.code=Unknown grpc.call_duration=3.81327668s
05:06:08.459,CheckCommitReadiness,[lifecycle],Successfully checked commit readiness of chaincode name 'fabcar' on channel 'mychannel' with definition {sequence: 1 endorsement info: (version: '1.0' plugin: 'escc' init required: false) validation info: (plugin: 'vscc' policy: '0a28120c120a080212020800120208011a0b12090a074f7267314d53501a0b12090a074f7267324d5350') collections: (<nil>)}
05:06:08.461,CommitChaincodeDefinition,[lifecycle],Successfully endorsed commit for chaincode name 'fabcar' on channel 'mychannel' with definition {sequence: 1 endorsement info: (version: '1.0' plugin: 'escc' init required: false) validation info: (plugin: 'vscc' policy: '0a28120c120a080212020800120208011a0b12090a074f7267314d53501a0b12090a074f7267324d5350') collections: (<nil>)}
05:06:08.461,callChaincode,[endorser],finished chaincode: _lifecycle duration: 55ms channel=mychannel txID=5a0df038
05:06:08.462,1,[comm.grpc.server],unary call completed grpc.service=protos.Endorser grpc.method=ProcessProposal grpc.peer_address=172.23.0.39:44586 grpc.code=OK grpc.call_duration=56.452455ms
05:06:10.899,StoreBlock,[gossip.privdata],[mychannel] Received block [5] from buffer
05:06:10.901,Validate,[committer.txvalidator],[mychannel] Validated block [5] in 1ms
05:06:10.901,prepareBlockPvtdata,[gossip.privdata],Successfully fetched all eligible collection private write sets for block [5] channel=mychannel
05:06:10.908,update,[lifecycle],Updating cached definition for chaincode 'fabcar' on channel 'mychannel'
05:06:10.931,update,[lifecycle],Chaincode with package ID 'fabcarv1:45097293189158aadd0deab44a9a91a2d536128ab7abfe058ee37eb74539db85' now available on channel mychannel for chaincode definition fabcar:1.0
05:06:10.932,HandleStateUpdates,[cceventmgmt],Channel [mychannel]: Handling deploy or update of chaincode [fabcar]
05:06:13.726,CommitLegacy,[kvledger],[mychannel] Committed block [5] with 1 transaction(s) in 2824ms (state_validation=33ms block_and_pvtdata_commit=722ms state_commit=1654ms) commitHash=[4a2dae288556d5345a1e9c4e3e06faf51935e1bbd35cd282b473340c41c8fe1d]
05:06:14.516,1,[comm.grpc.server],streaming call completed grpc.service=protos.Deliver grpc.method=DeliverFiltered grpc.request_deadline=2020-03-19T05:06:38.463Z grpc.peer_address=172.23.0.39:44588 error="context finished before block retrieved: context canceled" grpc.code=Unknown grpc.call_duration=6.052786518s
05:06:20.955,callChaincode,[endorser],finished chaincode: fabcar duration: 5455ms channel=mychannel txID=513a6c99
05:06:20.955,1,[comm.grpc.server],unary call completed grpc.service=protos.Endorser grpc.method=ProcessProposal grpc.peer_address=172.23.0.39:44626 grpc.code=OK grpc.call_duration=5.459862608s
05:06:26.013,StoreBlock,[gossip.privdata],[mychannel] Received block [6] from buffer
05:06:26.037,Validate,[committer.txvalidator],[mychannel] Validated block [6] in 23ms
05:06:26.038,prepareBlockPvtdata,[gossip.privdata],Successfully fetched all eligible collection private write sets for block [6] channel=mychannel
05:06:27.075,CreateDatabaseIfNotExist,[couchdb],Created state database mychannel_fabcar
05:06:27.853,CommitLegacy,[kvledger],[mychannel] Committed block [6] with 1 transaction(s) in 1814ms (state_validation=0ms block_and_pvtdata_commit=312ms state_commit=1352ms) commitHash=[dcb39fc2e3455a970c6e5bc370fa87403b7dfa0fd66c54b0c370b87028823258]
05:06:27.853,1,[comm.grpc.server],streaming call completed grpc.service=protos.Deliver grpc.method=DeliverFiltered grpc.request_deadline=2020-03-19T05:11:23.583Z grpc.peer_address=172.23.0.39:44628 error="context finished before block retrieved: context canceled" grpc.code=Unknown grpc.call_duration=4.270561808s
05:15:19.291,callChaincode,[endorser],finished chaincode: fabcar duration: 44ms channel=mychannel txID=ba8334f9
