Time, Operation, Operation_name, Description
02:52:44.738,StartDeliverForChannel,[deliveryClient],This peer will retrieve blocks from ordering service and disseminate to other peers in the organization for channel mychannel
02:52:48.732,reportMembershipChanges,[gossip.channel],[[mychannel] Membership view has changed. peers went online:  [[peer1.org1.example.com:8051]]  current view:  [[peer1.org1.example.com:8051]]]
02:52:49.210,stopBeingLeader,[gossip.election],2ef2c22cef6d27852f219ed68b8b560dcd1cf5a74b8ffc75221c17a80425f48f Stopped being a leader
02:52:49.210,func1,[gossip.service],Renounced leadership stopping delivery service for channel mychannel
02:52:49.210,func1,[peer.blocksprovider],Encountered an error reading from deliver stream: rpc error: code = Canceled desc = context canceled channel=mychannel orderer-address=orderer4.ord2.example.com:20050
02:52:53.732,reportMembershipChanges,[gossip.channel],[[mychannel] Membership view has changed. peers went online:  [[peer2.org1.example.com:9051]]  current view:  [[peer2.org1.example.com:9051] [peer1.org1.example.com:8051]]]
02:53:04.932,StoreBlock,[gossip.privdata],[mychannel] Received block [1] from buffer
02:53:04.942,JoinChan,[gossip.gossip],Joining gossip network of channel mychannel with 2 organizations
02:53:04.942,learnAnchorPeers,[gossip.gossip],Learning about the configured anchor peers of Org1MSP for channel mychannel : [{peer0.org1.example.com 7051}]
02:53:04.942,learnAnchorPeers,[gossip.gossip],Anchor peer with same endpoint skipping connecting to myself
02:53:04.942,learnAnchorPeers,[gossip.gossip],No configured anchor peers of Org2MSP for channel mychannel to learn about
02:53:04.942,1,[comm.grpc.server],unary call completed grpc.service=gossip.Gossip grpc.method=Ping grpc.request_deadline=2020-03-19T02:53:06.942Z grpc.peer_address=172.20.0.25:45634 grpc.peer_subject="CN=peer0.org2.example.comL=San FranciscoST=CaliforniaC=US" grpc.code=OK grpc.call_duration=94.562µs
02:53:04.950,1,[comm.grpc.server],streaming call completed grpc.service=gossip.Gossip grpc.method=GossipStream grpc.request_deadline=2020-03-19T02:53:14.944Z grpc.peer_address=172.20.0.25:45634 grpc.peer_subject="CN=peer0.org2.example.comL=San FranciscoST=CaliforniaC=US" error="rpc error: code = Canceled desc = context canceled" grpc.code=Canceled grpc.call_duration=6.114569ms
02:53:04.953,Validate,[committer.txvalidator],[mychannel] Validated block [1] in 20ms
02:53:04.953,getTxInfoFromTransactionBytes,[gossip.privdata],Invalid transaction type: header type is not an endorser transaction
02:53:04.953,prepareBlockPvtdata,[gossip.privdata],Successfully fetched all eligible collection private write sets for block [1] channel=mychannel
