Time, Operation, Operation_name, Description
01:13:59.734,getLocalAddress,[peer],Auto-detected peer address: 172.19.0.34:7051
01:13:59.734,getLocalAddress,[peer],Returning peer0.org1.example.com:7051
01:13:59.753,serve,[nodeCmd],Starting peer with TLS enabled
01:14:01.621,New,[gossip.service],Initialize gossip with endpoint peer0.org1.example.com:7051
01:14:01.623,New,[gossip.gossip],Creating gossip service with self membership of Endpoint: peer0.org1.example.com:7051 InternalEndpoint: peer0.org1.example.com:7051 PKI-ID: ab124218609fe28b5f224de0f498f6bc73312ed390e1327d638350402d726e57 Metadata: 
01:14:01.624,start,[gossip.gossip],Gossip instance peer0.org1.example.com:7051 started
01:14:01.625,NewLedgerMgr,[ledgermgmt],Initializing LedgerMgr
01:14:04.226,openDBAndCheckFormat,[leveldbhelper],DB is empty Setting db format as 2.0
01:14:04.452,NewProvider,[fsblkstorage],Creating new file ledger directory at /var/hyperledger/production/ledgersData/chains/chains
01:14:04.626,func1,[gossip.discovery],Could not connect to Endpoint: peer1.org1.example.com:8051 InternalEndpoint: peer1.org1.example.com:8051 PKI-ID: <nil> Metadata:  : context deadline exceeded
01:14:05.552,openDBAndCheckFormat,[leveldbhelper],DB is empty Setting db format as 2.0
01:14:07.487,CreateDatabaseIfNotExist,[couchdb],Created state database _users
01:14:08.462,CreateDatabaseIfNotExist,[couchdb],Created state database _replicator
01:14:08.974,CreateDatabaseIfNotExist,[couchdb],Created state database fabric__internal
01:14:09.459,NewLedgerMgr,[ledgermgmt],Initialized LedgerMgr
01:14:09.460,InitializeLocalChaincodes,[lifecycle],Initialized lifecycle cache with 0 already installed chaincodes
01:14:09.460,computeChaincodeEndpoint,[nodeCmd],Entering computeChaincodeEndpoint with peerHostname: peer0.org1.example.com
01:14:09.460,computeChaincodeEndpoint,[nodeCmd],Exit with ccEndpoint: peer0.org1.example.com:7052
01:14:09.468,DeploySysCC,[sccapi],deploying system chaincode 'lscc'
01:14:09.468,DeploySysCC,[sccapi],deploying system chaincode 'cscc'
01:14:09.468,DeploySysCC,[sccapi],deploying system chaincode 'qscc'
01:14:09.468,DeploySysCC,[sccapi],deploying system chaincode '_lifecycle'
01:14:09.468,serve,[nodeCmd],Deployed system chaincodes
01:14:09.468,NewService,[discovery],Created with config TLS: true authCacheMaxSize: 1000 authCachePurgeRatio: 0.750000
01:14:09.468,registerDiscoveryService,[nodeCmd],Discovery service activated
01:14:09.468,serve,[nodeCmd],Starting peer with ID=[peer0.org1.example.com] network ID=[dev] address=[peer0.org1.example.com:7051]
01:14:09.468,serve,[nodeCmd],Started peer with ID=[peer0.org1.example.com] network ID=[dev] address=[peer0.org1.example.com:7051]
01:14:09.468,func6,[nodeCmd],Starting profiling server with listenAddress = 0.0.0.0:6060
01:14:09.469,LoadPreResetHeight,[kvledger],Loading prereset height from path [/var/hyperledger/production/ledgersData/chains]
01:14:09.469,preResetHtFiles,[fsblkstorage],No active channels passed
01:14:09.470,ServerHandshake,[core.comm],TLS handshake failed with error EOF server=PeerServer remoteaddress=172.19.0.35:44450
01:14:23.655,1,[comm.grpc.server],unary call completed grpc.service=gossip.Gossip grpc.method=Ping grpc.request_deadline=2020-03-19T01:14:25.655Z grpc.peer_address=172.19.0.28:40348 grpc.peer_subject="CN=peer2.org1.example.comL=San FranciscoST=CaliforniaC=US" grpc.code=OK grpc.call_duration=93.216µs
01:14:23.666,1,[comm.grpc.server],streaming call completed grpc.service=gossip.Gossip grpc.method=GossipStream grpc.request_deadline=2020-03-19T01:14:33.66Z grpc.peer_address=172.19.0.28:40348 grpc.peer_subject="CN=peer2.org1.example.comL=San FranciscoST=CaliforniaC=US" error="rpc error: code = Canceled desc = context canceled" grpc.code=Canceled grpc.call_duration=6.4075ms
01:14:23.671,1,[comm.grpc.server],unary call completed grpc.service=gossip.Gossip grpc.method=Ping grpc.request_deadline=2020-03-19T01:14:25.671Z grpc.peer_address=172.19.0.28:40350 grpc.peer_subject="CN=peer2.org1.example.comL=San FranciscoST=CaliforniaC=US" grpc.code=OK grpc.call_duration=102.267µs
01:14:23.964,1,[comm.grpc.server],unary call completed grpc.service=gossip.Gossip grpc.method=Ping grpc.request_deadline=2020-03-19T01:14:25.964Z grpc.peer_address=172.19.0.30:58728 grpc.peer_subject="CN=peer1.org1.example.comL=San FranciscoST=CaliforniaC=US" grpc.code=OK grpc.call_duration=93.897µs
01:14:23.967,1,[comm.grpc.server],streaming call completed grpc.service=gossip.Gossip grpc.method=GossipStream grpc.request_deadline=2020-03-19T01:14:33.965Z grpc.peer_address=172.19.0.30:58728 grpc.peer_subject="CN=peer1.org1.example.comL=San FranciscoST=CaliforniaC=US" error="rpc error: code = Canceled desc = context canceled" grpc.code=Canceled grpc.call_duration=2.184999ms
01:14:23.974,1,[comm.grpc.server],unary call completed grpc.service=gossip.Gossip grpc.method=Ping grpc.request_deadline=2020-03-19T01:14:25.974Z grpc.peer_address=172.19.0.30:58730 grpc.peer_subject="CN=peer1.org1.example.comL=San FranciscoST=CaliforniaC=US" grpc.code=OK grpc.call_duration=105.673µs
01:14:26.844,CreateLedger,[ledgermgmt],Creating ledger [mychannel] with genesis block
01:14:26.884,newBlockfileMgr,[fsblkstorage],Getting block information from block storage
01:14:27.328,CreateDatabaseIfNotExist,[couchdb],Created state database mychannel_
01:14:27.755,CreateDatabaseIfNotExist,[couchdb],Created state database mychannel__lifecycle
01:14:28.164,CommitLegacy,[kvledger],[mychannel] Committed block [0] with 1 transaction(s) in 367ms (state_validation=0ms block_and_pvtdata_commit=108ms state_commit=226ms) commitHash=[]
01:14:28.214,CreateLedger,[ledgermgmt],Created ledger [mychannel] with genesis block
01:14:28.236,JoinChan,[gossip.gossip],Joining gossip network of channel mychannel with 2 organizations
01:14:28.237,learnAnchorPeers,[gossip.gossip],No configured anchor peers of Org2MSP for channel mychannel to learn about
01:14:28.237,learnAnchorPeers,[gossip.gossip],No configured anchor peers of Org1MSP for channel mychannel to learn about
