NAME,TYPE,PipeWallThickness,PipeAutomatedDesignTotalCost,FacilityToNodePressureSegmentName,FacilityToNodePressure,FacilityToNodeName,FacilityThermalFlow,PipeTemperature,FacilitySymbolName,PipeSupercompressibility,PipeSuperHeat,PipeSteamEnergyLoss,FacilityStatus,PipeSpecificGravity,FacilityServiceState,ElementServiceDate,PipeSchedule,PipeRoughness,PipeReynolds,PipeResultAutomatedDesignWallThickness,PipeUpstreamVelocity,PipeUpstreamFlow,FacilityResultTotalMolarFlow,FacilityToNodeTemperature,FacilitySubsystemID,FacilitySpecificGravity,PipeResultRoughness,FacilityPressureRatio,PipePressureDropSqrPerLength,PipePressureDropPerLength,FacilityPressureDrop,PipeResultOutsideDiameter,FacilityOptimizerOptimized,FacilityOptimizerLimit,PipeResultNumberOfKnots,PipeAutomatedDesignMaterialCostPerLength,PipeResultAutomatedDesignMaterial,FacilityLowerHeatingValue,PipeLinepackPerLength,FacilityIntegratedUpVolume,FacilityIntegratedDownVolume,FacilityHigherHeatingValue,PipeResultHeatTransferCoefficient,PipeHeatPlusCondensateLossPerLength,PipeHeatLossPerLength,PipeHeat,FacilityFromNodeTemperature,PipeResultEfficiency,PipeDownstreamVelocity,ElementResultDownstreamTemperature,PipeDownstreamFlow,PipeCondensateHeatLossPerLength,PipeCondensateHeatLoss,PipeCondensateFlow,PipeDewPointLocation,FacilityReferenceFlow,PipeProfileTemperatureName,PipeProfileElevationName,FacilityPressureSegmentName,PipeOutsideDiameter,FacilityNumberInParallel,PipeMultipleIdenticalPipes,PipeEstateDesignMinDiameterEnabled,PipeEstateDesignMinDiameter,ElementPressureMaximumOperatingAllowable,PipeMaterialCostPerLength,PipeMaterial,PipeLoopRoughness,PipeLoopLength,PipeLoopIsOn,PipeLoopForwardDirection,PipeLoopHeatTransferCoefficient,PipeLoopFrictionFactor,PipeLoopEfficiency,PipeLoopDiameter,PipePolygonCostPerLength,PipeLoad,PipeLinePack,PipeLength,PipeJointType,PipeJointLength,PipeHeatTransferCoefficient,FacilityHasProblem,FacilityFromNodePressureSegmentName,FacilityFromNodePressure,FacilityFromNodeName,PipeFrictionFactor,FacilityFlowMinusReferenceFlowPercentage,FacilityFlowMinusReferenceFlow,FacilityFlowAbsolute,FacilityFlow,FacilityEquationType,PipeEfficiency,PipeDiameter,PipeAutomatedDesignStatus,FacilityDescription,PipeDebeaded,PipeControlNodeName,PipeCalibrationSetName,PipeCalibrateIsDecision,PipeCalculateHeatTransferCoefficient,PipeBurialDepth,PipeAvePressure,PipeAmbientTemperature,ElementActiveState,PipeThermalLayerDefaultDescription(0),PipeThermalLayerDefaultDescription(1),PipeThermalLayerDefaultDescription(2),PipeThermalLayerDefaultDescription(3),PipeThermalLayerDensity(0),PipeThermalLayerDensity(1),PipeThermalLayerDensity(2),PipeThermalLayerDensity(3),PipeThermalLayerDescription(0),PipeThermalLayerDescription(1),PipeThermalLayerDescription(2),PipeThermalLayerDescription(3),PipeThermalLayerHeatCapacity(0),PipeThermalLayerHeatCapacity(1),PipeThermalLayerHeatCapacity(2),PipeThermalLayerHeatCapacity(3),PipeThermalLayerHeatConductivity(0),PipeThermalLayerHeatConductivity(1),PipeThermalLayerHeatConductivity(2),PipeThermalLayerHeatConductivity(3),PipeThermalLayerNumber(0),PipeThermalLayerNumber(1),PipeThermalLayerNumber(2),PipeThermalLayerNumber(3),PipeThermalLayerThickness(0),PipeThermalLayerThickness(1),PipeThermalLayerThickness(2),PipeThermalLayerThickness(3)
0BF5CC16,Pipes,,0,,8.655163,0BEC51BB,-0.001349,40,Default Pipe,0.997559,0,0,,0.579999,ENABLED,,,0.000059,279.493835,,0.091532,-0.056232,-0.001619,40,13,0.579999,0.000059,0.999999,0.003989,0.000201,-0.000017,,0,0,2,0,,903.822387,1.71E-07,,,1000,0.219999,0,0,0,40,0.93,0.091532,40,-0.056232,0,0,0,,,,,,,0,0,0,,,0,Polyethylene,,,0,,,,,,0,0,0.000004,25.000001,,0,0.219999,0,,8.655146,0BEC51BC,0.228488,,,0.056232,-0.056232,FM,0.93,5.421,NONE,,,,,,0,,8.655168,59.999969,-1,Pipe Wall,Pipe Coating,Substrate,Soil,,,,,,,,,,,,,,,,,1,2,3,4,,,,
0BF5CC0B,Pipes,,0,,8.655372,0BEC51BA,0.02385,40,Default Pipe,0.997559,0,0,,0.579999,ENABLED,,,0.0102,4433.172363,,1.303022,0.993774,0.028613,40,13,0.579999,0.0102,1.000015,0.142777,0.004741,0.006404,,0,0,2,0,,903.822387,2.12E-07,,,1000,0.219999,0,0,0,40,0.879999,1.303043,40,0.993774,0,0,0,,,,,,,0,0,0,,,0,,,,0,,,,,,0,0,0.000054,257,,0,0.219999,0,,8.661777,0BEC51B9,0.040527,,,0.993774,0.993774,FM,0.879999,6.039999,NONE,,,,,,0,,8.658587,59.999969,-1,Pipe Wall,Pipe Coating,Substrate,Soil,,,,,,,,,,,,,,,,,1,2,3,4,,,,
0BF5CC0D,Pipes,,0,,8.655146,0BEC51BC,-0.002479,40,Default Pipe,0.997559,0,0,,0.579999,ENABLED,,,0.000059,513.402282,,0.168135,-0.103293,-0.002974,40,13,0.579999,0.000059,0.999999,0.0073,0.000241,-0.000185,,0,0,2,0,,903.822387,1.71E-07,,,1000,0.219999,0,0,0,40,0.93,0.168135,40,-0.103293,0,0,0,,,,,,,0,0,0,,,0,Polyethylene,,,0,,,,,,0,0,0.000024,146,,0,0.219999,0,,8.65496,0BEC51DD,0.124652,,,0.103293,-0.103293,FM,0.93,5.421,NONE,,,,,,0,,8.655066,59.999969,-1,Pipe Wall,Pipe Coating,Substrate,Soil,,,,,,,,,,,,,,,,,1,2,3,4,,,,
0BF5CC15,Pipes,,0,,8.655146,0BEC51BC,0.001448,40,Default Pipe,0.997559,0,0,,0.579999,ENABLED,,,0.000059,299.959228,,0.098234,0.06035,0.001737,40,13,0.579999,0.000059,1,0.004307,0,0.000002,,0,0,2,0,,903.822387,1.71E-07,,,1000,0.219999,0,2.61E-17,0,40,0.93,0.098234,40,0.06035,0,0,0,,,,,,,0,0,0,,,0,Polyethylene,,,0,,,,,,0,0,5.12E-07,3,,0,0.219999,0,,8.655149,0BEC51C1,0.210224,,,0.06035,0.06035,FM,0.93,5.421,NONE,,,,,,0,,8.65516,59.999969,-1,Pipe Wall,Pipe Coating,Substrate,Soil,,,,,,,,,,,,,,,,,1,2,3,4,,,,
0BF5CC20,Pipes,,0,,8.655461,0BEC51CA,0.000924,40,Default Pipe,0.997559,0,0,,0.579999,ENABLED,,,0.000059,191.547271,,0.06273,0.038538,0.001109,40,13,0.579999,0.000059,1,0.002734,0,0.000003,,0,0,2,0,,903.822387,1.71E-07,,,1000,0.219999,0,0,0,40,0.93,0.06273,40,0.038538,0,0,0,,,,,,,0,0,0,,,0,Polyethylene,,,0,,,,,,0,0,0.000001,6,,0,0.219999,0,,8.655464,0BEC51C9,0.33245,,,0.038538,0.038538,FM,0.93,5.421,NONE,,,,,,0,,8.655475,59.999969,-1,Pipe Wall,Pipe Coating,Substrate,Soil,,,,,,,,,,,,,,,,,1,2,3,4,,,,
0BF5CC1F,Pipes,,0,,8.655501,2FC18AE7,0.001849,40,Default Pipe,0.997559,0,0,,0.579999,ENABLED,,,0.000059,564.029174,,0.271956,0.077076,0.002219,40,13,0.579999,0.000059,1,0.025524,0,0.000009,,0,0,2,0,,903.822387,7.87E-08,,,1000,0.219999,0,5.01E-17,0,40,0.93,0.271956,40,0.077076,0,0,0,,,,,,,0,0,0,,,0,,,,0,,,,,,0,0,1.57E-07,1.999549,,0,0.219999,0,,8.655509,0BEC51C8,0.113865,,,0.077076,0.077076,FM,0.93,3.681999,NONE,,,,,,0,,8.655517,59.999969,-1,Pipe Wall,Pipe Coating,Substrate,Soil,,,,,,,,,,,,,,,,,1,2,3,4,,,,
0BF5CC1E,Pipes,,0,,8.655509,0BEC51C8,0.006538,40,Default Pipe,0.997559,0,0,,0.579999,ENABLED,,,0.0102,1835.064086,,0.814457,0.272425,0.007843,40,13,0.579999,0.0102,1.000009,0.072542,0.002408,0.00381,,0,0,2,0,,903.822387,9.29E-08,,,1000,0.219999,0,1.18E-18,0,40,0.879999,0.814464,40,0.272425,0,0,0,,,,,,,0,0,0,,,0,,,,0,,,,,,0,0,0.000027,301,,0,0.219999,0,,8.65932,0BEC51C7,0.034875,,,0.272425,0.272425,FM,0.879999,4,NONE,,,,,,0,,8.657427,59.999969,-1,Pipe Wall,Pipe Coating,Substrate,Soil,,,,,,,,,,,,,,,,,1,2,3,4,,,,
0BF5CC1D,Pipes,,0,,8.65932,0BEC51C7,0.009125,40,Default Pipe,0.997559,0,0,,0.579999,ENABLED,,,0.000059,2782.32788,,1.341531,0.380214,0.010947,40,13,0.579999,0.000059,1.000001,0.182804,0.006294,0.00051,,0,0,2,0,,903.822387,7.87E-08,,,1000,0.219999,0,-3.09E-17,0,40,0.93,1.341533,40,0.380214,0,0,0,,,,,,,0,0,0,,,0,,,,0,,,,,,0,0,0.000001,16,,0,0.219999,0,,8.659831,0BEC51C6,0.033289,,,0.380214,0.380214,FM,0.93,3.681999,NONE,,,,,,0,,8.659588,59.999969,-1,Pipe Wall,Pipe Coating,Substrate,Soil,,,,,,,,,,,,,,,,,1,2,3,4,,,,
0BF5CC1C,Pipes,,0,,8.659831,0BEC51C6,0.009408,40,Default Pipe,0.997559,0,0,,0.579999,ENABLED,,,0.0102,2640.701904,,1.17202,0.392026,0.011287,40,13,0.579999,0.0102,1.000001,0.136338,0.004531,0.000713,,0,0,2,0,,903.822387,9.29E-08,,,1000,0.219999,0,-1.70E-17,0,40,0.879999,1.172022,40,0.392026,0,0,0,,,,,,,0,0,0,,,0,,,,0,,,,,,0,0,0.000002,30,,0,0.219999,0,,8.660544,0BEC51C5,0.031652,,,0.392026,0.392026,FM,0.879999,4,NONE,,,,,,0,,8.6602,59.999969,-1,Pipe Wall,Pipe Coating,Substrate,Soil,,,,,,,,,,,,,,,,,1,2,3,4,,,,
0BF5CC1B,Pipes,,0,,8.660544,0BEC51C5,0.009585,40,Default Pipe,0.997559,0,0,,0.579999,ENABLED,,,0.001799,2673.057861,,1.178715,0.399409,0.0115,40,13,0.579999,0.001799,1.000002,0.138419,0.004541,0.001232,,0,0,2,0,,903.822387,9.41E-08,,,1000,0.219999,0,0,0,40,0.879999,1.178718,40,0.399409,0,0,0,,,,,,,0,0,0,,,0,,,,0,,,,,,0,0,0.000004,51,,0,0.219999,0,,8.661777,0BEC51B9,0.03198,,,0.399409,0.399409,FM,0.879999,4.026,NONE,,,,,,0,,8.661173,59.999969,-1,Pipe Wall,Pipe Coating,Substrate,Soil,,,,,,,,,,,,,,,,,1,2,3,4,,,,
0BF5CC1A,Pipes,,0,,8.661777,0BEC51B9,-0.009771,40,Default Pipe,0.997559,0,0,,0.579999,ENABLED,,,0.001799,2724.925781,,1.201587,-0.407159,-0.011723,40,13,0.579999,0.001799,0.999987,0.146465,0.00486,-0.005164,,0,0,2,0,,903.822387,9.41E-08,,,1000,0.219999,0,0,0,40,0.879999,1.201602,40,-0.407159,0,0,0,,,,,,,0,0,0,,,0,,,,0,,,,,,0,0,0.000019,202,,0,0.219999,0,,8.656613,0BEC51C4,0.032567,,,0.407159,-0.407159,FM,0.879999,4.026,NONE,,,,,,0,,8.659207,59.999969,-1,Pipe Wall,Pipe Coating,Substrate,Soil,,,,,,,,,,,,,,,,,1,2,3,4,,,,
0BF5CC28,Pipes,,0,,8.661777,0BEC51B9,0.043952,40,Default Pipe,0.997559,0,0,,0.579999,ENABLED,,,0.0102,8169.556152,,2.401233,1.831351,0.052729,40,13,0.579999,0.0102,1.000003,0.417813,0.013907,0.00153,,0,0,2,0,,903.822387,2.12E-07,,,1000,0.219999,0,1.13E-16,0,40,0.879999,2.401242,40,1.831351,0,0,0,,,,,,,0,0,0,,,0,,,,0,,,,,,0,0,0.000004,21,,0,0.219999,0,,8.663308,0BEC51D0,0.034911,,,1.831351,1.831351,FM,0.879999,6.039999,NONE,,,,,,0,,8.662555,59.999969,-1,Pipe Wall,Pipe Coating,Substrate,Soil,,,,,,,,,,,,,,,,,1,2,3,4,,,,
0BF5CC27,Pipes,,0,,8.663308,0BEC51D0,0.043952,40,Default Pipe,0.997559,0,0,,0.579999,ENABLED,,,0.000059,9102.401367,,2.980887,1.831351,0.052729,40,13,0.579999,0.000059,1.000008,0.58377,0.019442,0.003667,,0,0,2,0,,903.822387,1.71E-07,,,1000,0.219999,0,6.61E-17,0,40,0.93,2.980913,40,1.831351,0,0,0,,,,,,,0,0,0,,,0,Polyethylene,,,0,,,,,,0,0,0.000006,36,,0,0.219999,0,,8.666975,0BEC51B8,0.031726,,,1.831351,1.831351,FM,0.93,5.421,NONE,,,,,,0,,8.665154,59.999969,-1,Pipe Wall,Pipe Coating,Substrate,Soil,,,,,,,,,,,,,,,,,1,2,3,4,,,,
0BF5CC19,Pipes,,0,,8.656613,0BEC51C4,-0.009677,40,Default Pipe,0.997559,0,0,,0.579999,ENABLED,,,0.001799,2698.574218,,1.189982,-0.403222,-0.011609,40,13,0.579999,0.001799,0.999998,0.14229,0.004699,-0.000744,,0,0,2,0,,903.822387,9.41E-08,,,1000,0.219999,0,0,0,40,0.879999,1.189984,40,-0.403222,0,0,0,,,,,,,0,0,0,,,0,,,,0,,,,,,0,0,0.000002,30,,0,0.219999,0,,8.655868,0BEC51E1,0.03226,,,0.403222,-0.403222,FM,0.879999,4.026,NONE,,,,,,0,,8.656252,59.999969,-1,Pipe Wall,Pipe Coating,Substrate,Soil,,,,,,,,,,,,,,,,,1,2,3,4,,,,
